dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target,duration_ms
datadog-benign,Dart-Code.dart-code,Dart-Code.dart-code,3.141.20260803,0,benign,DataDog benign,MALICIOUS,1,1,static,67,MALICIOUS,67,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+55 AST: reverse shell — a socket data handler executes received input as a process ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\Dart-Code.dart-code\3.141.20260803.vsix,49509
datadog-benign,donjayamanne.python-extension-pack,donjayamanne.python-extension-pack,1.7.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\donjayamanne.python-extension-pack\1.7.0.vsix,13391
datadog-benign,dracula-theme.theme-dracula,dracula-theme.theme-dracula,2.25.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\dracula-theme.theme-dracula\2.25.1.vsix,12857
datadog-benign,dbaeumer.vscode-eslint,dbaeumer.vscode-eslint,3.0.34,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\dbaeumer.vscode-eslint\3.0.34.vsix,19406
datadog-benign,donjayamanne.githistory,donjayamanne.githistory,0.6.20,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\donjayamanne.githistory\0.6.20.vsix,21454
datadog-benign,donjayamanne.python-environment-manager,donjayamanne.python-environment-manager,1.2.7,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\donjayamanne.python-environment-manager\1.2.7.vsix,19156
datadog-benign,dsznajder.es7-react-js-snippets,dsznajder.es7-react-js-snippets,4.4.3,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\dsznajder.es7-react-js-snippets\4.4.3.vsix,18360
datadog-benign,DavidAnson.vscode-markdownlint,DavidAnson.vscode-markdownlint,0.62.1,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\DavidAnson.vscode-markdownlint\0.62.1.vsix,23972
datadog-benign,ecmel.vscode-html-css,ecmel.vscode-html-css,2.0.14,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ecmel.vscode-html-css\2.0.14.vsix,9337
datadog-benign,EditorConfig.EditorConfig,EditorConfig.EditorConfig,0.18.2,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,1,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),11,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\EditorConfig.EditorConfig\0.18.2.vsix,17776
datadog-benign,formulahendry.auto-close-tag,formulahendry.auto-close-tag,0.5.15,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\formulahendry.auto-close-tag\0.5.15.vsix,13697
datadog-benign,formulahendry.auto-rename-tag,formulahendry.auto-rename-tag,0.1.10,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,4,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\formulahendry.auto-rename-tag\0.1.10.vsix,14146
datadog-benign,formulahendry.code-runner,formulahendry.code-runner,0.12.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,1,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\formulahendry.code-runner\0.12.2.vsix,15554
datadog-benign,eamodio.gitlens,eamodio.gitlens,2026.8.111125,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\eamodio.gitlens\2026.8.111125.vsix,28203
datadog-benign,GitHub.github-vscode-theme,GitHub.github-vscode-theme,6.3.5,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\GitHub.github-vscode-theme\6.3.5.vsix,9059
datadog-benign,GitHub.copilot-chat,GitHub.copilot-chat,0.48.1,0,benign,DataDog benign,MALICIOUS,1,1,static,79,MALICIOUS,79,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\GitHub.copilot-chat\0.48.1.vsix,21694
datadog-benign,jeff-hykin.better-cpp-syntax,jeff-hykin.better-cpp-syntax,1.27.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\jeff-hykin.better-cpp-syntax\1.27.1.vsix,2829
datadog-benign,HookyQR.beautify,HookyQR.beautify,1.5.0,0,benign,DataDog benign,MALICIOUS,1,1,static,45,MALICIOUS,45,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+45 obfuscated dependency in node_modules invoking process execution (supply-chain trojan),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\HookyQR.beautify\1.5.0.vsix,9420
datadog-benign,GitHub.vscode-pull-request-github,GitHub.vscode-pull-request-github,0.163.2026081108,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\GitHub.vscode-pull-request-github\0.163.2026081108.vsix,12752
datadog-benign,KevinRose.vsc-python-indent,KevinRose.vsc-python-indent,1.21.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,1,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\KevinRose.vsc-python-indent\1.21.0.vsix,5160
datadog-benign,ms-azuretools.vscode-docker,ms-azuretools.vscode-docker,2.0.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-azuretools.vscode-docker\2.0.0.vsix,2349
datadog-benign,esbenp.prettier-vscode,esbenp.prettier-vscode,12.4.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\esbenp.prettier-vscode\12.4.0.vsix,32183
datadog-benign,golang.go,golang.Go,0.57.0,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\golang.Go\0.57.0.vsix,15783
datadog-benign,mechatroner.rainbow-csv,mechatroner.rainbow-csv,3.24.1,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,2,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\mechatroner.rainbow-csv\3.24.1.vsix,10753
datadog-benign,MS-CEINTL.vscode-language-pack-ja,MS-CEINTL.vscode-language-pack-ja,1.131.2026072717,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\MS-CEINTL.vscode-language-pack-ja\1.131.2026072717.vsix,11342
datadog-benign,mhutchie.git-graph,mhutchie.git-graph,1.30.0,0,benign,DataDog benign,SUSPICIOUS,0,1,dynamic,35,BENIGN,12,SUSPICIOUS,35,3,0,1,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\mhutchie.git-graph\1.30.0.vsix,16152
datadog-benign,MS-CEINTL.vscode-language-pack-es,MS-CEINTL.vscode-language-pack-es,1.131.2026072717,0,benign,DataDog benign,SUSPICIOUS,0,1,static,25,SUSPICIOUS,25,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\MS-CEINTL.vscode-language-pack-es\1.131.2026072717.vsix,14219
datadog-benign,MS-CEINTL.vscode-language-pack-zh-hans,MS-CEINTL.vscode-language-pack-zh-hans,1.131.2026072717,0,benign,DataDog benign,SUSPICIOUS,0,1,static,25,SUSPICIOUS,25,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\MS-CEINTL.vscode-language-pack-zh-hans\1.131.2026072717.vsix,12702
datadog-benign,GitHub.copilot,GitHub.copilot,1.388.0,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,6,0,0,0,0,3,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\GitHub.copilot\1.388.0.vsix,44460
datadog-benign,ms-dotnettools.csdevkit,ms-dotnettools.csdevkit,3.29.195,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-dotnettools.csdevkit\3.29.195.vsix,34882
datadog-benign,ms-azuretools.vscode-containers,ms-azuretools.vscode-containers,2.4.5,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-azuretools.vscode-containers\2.4.5.vsix,39585
datadog-benign,ms-toolsai.jupyter-keymap,ms-toolsai.jupyter-keymap,1.1.2,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-toolsai.jupyter-keymap\1.1.2.vsix,1351
datadog-benign,ms-python.isort,ms-python.isort,2026.7.12041004,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-python.isort\2026.7.12041004.vsix,26540
datadog-benign,ms-dotnettools.vscode-dotnet-runtime,ms-dotnettools.vscode-dotnet-runtime,3.1.0,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-dotnettools.vscode-dotnet-runtime\3.1.0.vsix,29446
datadog-benign,ms-python.debugpy,ms-python.debugpy,2026.7.12111009,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-python.debugpy\2026.7.12111009.vsix,29907
datadog-benign,ms-python.python,ms-python.python,2026.7.2026080801,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-python.python\2026.7.2026080801.vsix,31236
datadog-benign,ms-dotnettools.csharp,ms-dotnettools.csharp,2.148.23,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-dotnettools.csharp\2.148.23.vsix,42134
datadog-benign,ms-toolsai.vscode-jupyter-cell-tags,ms-toolsai.vscode-jupyter-cell-tags,0.1.9,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-toolsai.vscode-jupyter-cell-tags\0.1.9.vsix,11212
datadog-benign,ms-toolsai.vscode-jupyter-slideshow,ms-toolsai.vscode-jupyter-slideshow,0.1.6,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-toolsai.vscode-jupyter-slideshow\0.1.6.vsix,10780
datadog-benign,ms-python.vscode-python-envs,ms-python.vscode-python-envs,1.37.2026073101,0,benign,DataDog benign,MALICIOUS,1,1,static,135,MALICIOUS,135,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+45 downloads an executable/script binary from a non-distribution host ; static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+25 harvests a stable host fingerprint (machineId / MAC address),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-python.vscode-python-envs\1.37.2026073101.vsix,16338
datadog-benign,ms-vscode-remote.remote-ssh-edit,ms-vscode-remote.remote-ssh-edit,0.87.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode-remote.remote-ssh-edit\0.87.0.vsix,6543
datadog-benign,ms-python.vscode-pylance,ms-python.vscode-pylance,2026.3.1,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-python.vscode-pylance\2026.3.1.vsix,44280
datadog-benign,ms-vscode.cpptools-extension-pack,ms-vscode.cpptools-extension-pack,1.5.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode.cpptools-extension-pack\1.5.1.vsix,10224
datadog-benign,ms-toolsai.jupyter-renderers,ms-toolsai.jupyter-renderers,1.3.2025062701,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-toolsai.jupyter-renderers\1.3.2025062701.vsix,30225
datadog-benign,ms-vscode-remote.remote-wsl,ms-vscode-remote.remote-wsl,0.104.3,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode-remote.remote-wsl\0.104.3.vsix,16258
datadog-benign,ms-vscode-remote.remote-ssh,ms-vscode-remote.remote-ssh,0.125.2026080721,0,benign,DataDog benign,MALICIOUS,1,1,static,125,MALICIOUS,125,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+40 malicious preinstall lifecycle script in package.json ; static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode-remote.remote-ssh\0.125.2026080721.vsix,16839
datadog-benign,ms-vscode.cpptools-themes,ms-vscode.cpptools-themes,2.0.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode.cpptools-themes\2.0.0.vsix,7288
datadog-benign,ms-toolsai.jupyter,ms-toolsai.jupyter,2026.6.2026071501,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,18,1,0,0,0,1,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-toolsai.jupyter\2026.6.2026071501.vsix,34280
datadog-benign,ms-vscode.live-server,ms-vscode.live-server,0.5.2026072301,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode.live-server\0.5.2026072301.vsix,7261
datadog-benign,ms-vscode.cmake-tools,ms-vscode.cmake-tools,1.24.29,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,2,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Benign\ms-vscode.cmake-tools\1.24.29.vsix,24730
