dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target,duration_ms
datadog-malicious,CodamaSoftware.ai-docs-and-comments,CodamaSoftware.ai-docs-and-comments,0.0.8,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\CodamaSoftware.ai-docs-and-comments\0.0.8.vsix,17355
datadog-malicious,amazonwebservices.amazon-q-vscode,amazonwebservices.amazon-q-vscode,1.84.0,1,code,DataDog malicious,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,2,0,0,0,0,1,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\compromised_lib\amazonwebservices.amazon-q-vscode\1.84.0.vsix,97256
datadog-malicious,codevsce.codelddb-vscode,codevsce.codelddb-vscode,1.11.9,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\codevsce.codelddb-vscode\1.11.9.vsix,69873
datadog-malicious,csvmech.csvrainbow,csvmech.csvrainbow,3.3.1,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\csvmech.csvrainbow\3.3.1.vsix,68489
datadog-malicious,CSF-RED.CSF-RED,CSF-RED.CSF-RED,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,115,MALICIOUS,67,MALICIOUS,115,30,0,15,0,0,0,15,0,,,Backdoor / Reverse shell,0,0,0,,static:+55 reverse shell pattern (outbound TCP socket spawning a shell interpreter in the same file) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+60 reverse shell: raw TCP socket bound to a shell process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\CSF-RED.CSF-RED\0.0.1.vsix,69229
datadog-malicious,bphpburnsus.Iconesvscode,bphpburnsus.iconesvscode,12.15.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\bphpburnsus.iconesvscode\12.15.0.vsix,96689
datadog-malicious,7finney.ethcode,7finney.ETHCode,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,190,MALICIOUS,190,MALICIOUS,125,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+45 anonymous file-drop host (payload staging) ; static:+45 downloads an executable/script binary from a non-distribution host ; static:+45 obfuscated dependency in node_modules invoking process execution (supply-chain trojan),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\7finney.ETHCode\1.0.0.vsix,170843
datadog-malicious,dontdownloadthis.dontdownloadthis,dontdownloadthis.dontdownloadthis,0.0.2,1,code,DataDog malicious,MALICIOUS,1,1,both,150,MALICIOUS,150,MALICIOUS,90,13,0,13,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+45 downloads an executable/script binary from a non-distribution host ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\dontdownloadthis.dontdownloadthis\0.0.2.vsix,27240
datadog-malicious,cweijamysq.sync-settings-vscode,cweijamysq.sync-settings-vscode,0.18.2,1,code,DataDog malicious,MALICIOUS,1,1,static,90,MALICIOUS,90,BENIGN,18,2,0,0,0,1,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+55 AST: reverse shell — a socket data handler executes received input as a process ; static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\cweijamysq.sync-settings-vscode\0.18.2.vsix,95651
datadog-malicious,eamodas.shiny-vscode,eamodas.shiny-vscode,1.3.2,1,code,DataDog malicious,BENIGN,0,0,both,18,BENIGN,12,BENIGN,18,2,0,0,0,2,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+18 evaluates dynamically-built code (eval / new Function),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\eamodas.shiny-vscode\1.3.2.vsix,28229
datadog-malicious,embeddteam.embedded-build-analyzer,embeddteam.embedded-build-analyzer,1.1.3,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\embeddteam.embedded-build-analyzer\1.1.3.vsix,27572
datadog-malicious,EchelonStudios.blockchain-language-support,EchelonStudios.blockchain-language-support,1.0.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\EchelonStudios.blockchain-language-support\1.0.1.vsix,28099
datadog-malicious,embeddteam.embedded-cortex-debug,embeddteam.embedded-cortex-debug,1.14.0,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\embeddteam.embedded-cortex-debug\1.14.0.vsix,25131
datadog-malicious,embeddteam.embeddedprojectmanager,embeddteam.embeddedprojectmanager,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\embeddteam.embeddedprojectmanager\0.0.1.vsix,5469
datadog-malicious,dbankier.vscode-instant-markdown,dbankier_vscode-instant-markdown_1.4.6,1.4.6,1,code,DataDog malicious,MALICIOUS,1,1,static,50,MALICIOUS,50,SUSPICIOUS,35,14,0,14,0,0,0,0,0,,,No malicious behaviour observed (dynamic),14,0,0,,static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\kirill89\vscode-instant-markdown\dbankier_vscode-instant-markdown_1.4.6.vsix,90279
datadog-malicious,Ethereum.SoliditySupport,Ethereum.SoliditySupport,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,12,0,12,0,0,0,0,0,,,Loader / Downloader (stager),13,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\Ethereum.SoliditySupport\1.0.0.vsix,10164
datadog-malicious,EthCompiler.among-eth,EthCompiler.among-eth,1.0.2,1,code,DataDog malicious,SUSPICIOUS,0,1,dynamic,30,BENIGN,12,SUSPICIOUS,30,4,1,0,1,0,1,0,0,,solidity.bot,Infostealer / Reconnaissance,0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\EthCompiler.among-eth\1.0.2.vsix,10444
datadog-malicious,EtherFoundation.vs-ranket,EtherFoundation.vs-ranket,1.1.1,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\EtherFoundation.vs-ranket\1.1.1.vsix,10385
datadog-malicious,embeddteam.embeddedprojectmanager,embeddteam.embeddedprojectmanager,0.0.2,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\embeddteam.embeddedprojectmanager\0.0.2.vsix,11177
datadog-malicious,garytyler.darcula-pycharm,garytyler.darcula-pycharm,1.0.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\garytyler.darcula-pycharm\1.0.0.vsix,2613
datadog-malicious,embeddteam.embedded-cortex-debug,embeddteam.embedded-cortex-debug,1.14.1,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\embeddteam.embedded-cortex-debug\1.14.1.vsix,19370
datadog-malicious,ecm3401.example-api-extension,example-api-extension-0.0.1,0.0.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\ecm3401\Example-API-Extension\example-api-extension-0.0.1.vsix,11593
datadog-malicious,Expressjs.expressjs-session,Expressjs.expressjs-session,1.24.0,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,95,BENIGN,0,MALICIOUS,95,4,1,0,1,0,0,0,0,,xn--expessjs-00d.com,Infostealer / Reconnaissance,0,0,0,,dynamic:+30 collects host/user reconnaissance and transmits it ; dynamic:+40 punycode / typosquat domain ; dynamic:+25 transmits a data payload to the suspicious/tunnelled endpoint (exfiltration),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\Expressjs.expressjs-session\1.24.0.vsix,12669
datadog-malicious,Zeron-CySec.Zeron-CySec,Files,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,115,MALICIOUS,67,MALICIOUS,115,30,0,15,0,0,0,15,0,,,Backdoor / Reverse shell,0,0,0,,static:+55 reverse shell pattern (outbound TCP socket spawning a shell interpreter in the same file) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+60 reverse shell: raw TCP socket bound to a shell process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\securezeron\Files,5068
datadog-malicious,ecm3401.extension-attack-suite,extension-attack-suite-0.0.1,0.0.1,1,code,DataDog malicious,SUSPICIOUS,0,1,dynamic,35,BENIGN,12,SUSPICIOUS,35,33,0,20,0,0,7,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\ecm3401\Extension-Attack-Suite\extension-attack-suite-0.0.1.vsix,6987
datadog-malicious,GavinLamWood.vs-blanket,GavinLamWood.vs-blanket,0.0.8,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GavinLamWood.vs-blanket\0.0.8.vsix,5024
datadog-malicious,flutcode.flutter-extension,flutcode.flutter-extension,3.122.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\flutcode.flutter-extension\3.122.0.vsix,5776
datadog-malicious,GitlensPro.codebeauty-formatter,GitlensPro.codebeauty-formatter,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.codebeauty-formatter\2.0.0.vsix,6299
datadog-malicious,GitlensPro.error-lens-ultra-pro,GitlensPro.error-lens-ultra-pro,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.error-lens-ultra-pro\2.0.0.vsix,13982
datadog-malicious,GitlensPro.aicode-companion,GitlensPro.aicode-companion,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.aicode-companion\2.0.0.vsix,51277
datadog-malicious,hajoo.poisoned-extension,hajoo.poisoned-extension,1.0.3,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+30 ephemeral/free cloud backend endpoint (C2 staging) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\hajoo.poisoned-extension\1.0.3.vsix,107598
datadog-malicious,GitlensPro.peacock-workspace-colorizer,GitlensPro.peacock-workspace-colorizer,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.peacock-workspace-colorizer\2.0.0.vsix,108302
datadog-malicious,GitlensPro.gitpro-ai-tools,GitlensPro.gitpro-ai-tools,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.gitpro-ai-tools\1.0.0.vsix,110369
datadog-malicious,Iconkieftwo.icon-theme-materiall,icon-theme-materiall,5.29.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\vsix-zoo\glassworm\icon-theme-materiall.vsix,110682
datadog-malicious,IconKief.icon-theme-material,IconKief.icon-theme-material,5.29.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\IconKief.icon-theme-material\5.29.0.vsix,107859
datadog-malicious,JohnGaffney.blankebesxstnion,JohnGaffney.blankebesxstnion,1.0.2,1,code,DataDog malicious,SUSPICIOUS,0,1,dynamic,30,BENIGN,12,SUSPICIOUS,30,4,1,0,1,0,1,0,0,,solidity.bot,Infostealer / Reconnaissance,0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\JohnGaffney.blankebesxstnion\1.0.2.vsix,4736
datadog-malicious,JacobETH.solidi,JacobETH.solidi,1.0.7,1,code,DataDog malicious,MALICIOUS,1,1,both,317,MALICIOUS,317,MALICIOUS,125,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+45 anonymous file-drop host (payload staging),C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\JacobETH.solidi\1.0.7.vsix,124319
datadog-malicious,GitlensPro.gitlens-monocharged,GitlensPro.gitlens-monocharged,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\Khanh\Downloads\VSGuard AI\Dataset_Malicious\malicious_intent\GitlensPro.gitlens-monocharged\1.0.0.vsix,159891
