dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target
datadog-benign,esbenp.prettier-vscode,esbenp.prettier-vscode,12.4.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\esbenp.prettier-vscode\12.4.0.vsix
datadog-benign,golang.go,golang.go,0.55.0,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\golang.go\0.55.0.vsix
datadog-benign,eamodio.gitlens,eamodio.gitlens,2026.6.200604,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\eamodio.gitlens\2026.6.200604.vsix
datadog-benign,Gruntfuggly.todo-tree,Gruntfuggly.todo-tree,0.0.226,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\Gruntfuggly.todo-tree\0.0.226.vsix
datadog-benign,humao.rest-client,humao.rest-client,0.25.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\humao.rest-client\0.25.1.vsix
datadog-benign,johnpapa.vscode-peacock,johnpapa.vscode-peacock,4.2.3,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\johnpapa.vscode-peacock\4.2.3.vsix
datadog-benign,mechatroner.rainbow-csv,mechatroner.rainbow-csv,3.24.1,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,2,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\mechatroner.rainbow-csv\3.24.1.vsix
datadog-benign,ms-azuretools.vscode-docker,ms-azuretools.vscode-docker,2.0.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\ms-azuretools.vscode-docker\2.0.0.vsix
datadog-benign,mikestead.dotenv,mikestead.dotenv,1.0.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\mikestead.dotenv\1.0.1.vsix
datadog-benign,ms-python.python,ms-python.python,2026.5.2026061001,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\ms-python.python\2026.5.2026061001.vsix
datadog-benign,mhutchie.git-graph,mhutchie.git-graph,1.30.0,0,benign,DataDog benign,SUSPICIOUS,0,1,dynamic,35,BENIGN,12,SUSPICIOUS,35,3,0,1,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\mhutchie.git-graph\1.30.0.vsix
datadog-benign,naumovs.color-highlight,naumovs.color-highlight,2.8.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\naumovs.color-highlight\2.8.0.vsix
datadog-benign,ms-vscode.cpptools,ms-vscode.cpptools,1.32.2,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\ms-vscode.cpptools\1.32.2.vsix
datadog-benign,PKief.material-icon-theme,PKief.material-icon-theme,5.35.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\PKief.material-icon-theme\5.35.0.vsix
datadog-benign,hediet.vscode-drawio,hediet.vscode-drawio,1.9.260618014,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,18,5,0,0,0,5,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value ; dynamic:+18 evaluates dynamically-built code (eval / new Function),C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\hediet.vscode-drawio\1.9.260618014.vsix
datadog-benign,oderwat.indent-rainbow,oderwat.indent-rainbow,8.3.1,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),2,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\oderwat.indent-rainbow\8.3.1.vsix
datadog-benign,redhat.vscode-yaml,redhat.vscode-yaml,1.24.2026062009,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\redhat.vscode-yaml\1.24.2026062009.vsix
datadog-benign,redhat.vscode-xml,redhat.vscode-xml,0.29.2026061109,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\redhat.vscode-xml\0.29.2026061109.vsix
datadog-benign,rust-lang.rust-analyzer,rust-lang.rust-analyzer,0.4.2944,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\rust-lang.rust-analyzer\0.4.2944.vsix
datadog-benign,shd101wyy.markdown-preview-enhanced,shd101wyy.markdown-preview-enhanced,0.8.30,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\shd101wyy.markdown-preview-enhanced\0.8.30.vsix
datadog-benign,usernamehw.errorlens,usernamehw.errorlens,3.28.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\usernamehw.errorlens\3.28.0.vsix
datadog-benign,rangav.vscode-thunder-client,rangav.vscode-thunder-client,2.40.15,0,benign,DataDog benign,BENIGN,0,0,both,24,BENIGN,24,BENIGN,0,48,0,0,0,0,3,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\rangav.vscode-thunder-client\2.40.15.vsix
datadog-benign,TabNine.tabnine-vscode,TabNine.tabnine-vscode,3.335.0,0,benign,DataDog benign,SUSPICIOUS,0,1,both,35,SUSPICIOUS,35,SUSPICIOUS,35,2,0,1,0,0,0,0,0,,,No malicious behaviour observed (dynamic),151,1.05,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\TabNine.tabnine-vscode\3.335.0.vsix
datadog-benign,teabyii.ayu,teabyii.ayu,1.1.12,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\teabyii.ayu\1.1.12.vsix
datadog-benign,tomoki1207.pdf,tomoki1207.pdf,1.2.2,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\tomoki1207.pdf\1.2.2.vsix
datadog-benign,waderyan.gitblame,waderyan.gitblame,13.0.1,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\waderyan.gitblame\13.0.1.vsix
datadog-benign,wayou.vscode-todo-highlight,wayou.vscode-todo-highlight,1.0.5,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\wayou.vscode-todo-highlight\1.0.5.vsix
datadog-benign,ritwickdey.LiveServer,ritwickdey.LiveServer,5.7.10,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\ritwickdey.LiveServer\5.7.10.vsix
datadog-benign,streetsidesoftware.code-spell-checker,streetsidesoftware.code-spell-checker,4.6.0,0,benign,DataDog benign,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 harvests a stable host fingerprint (machineId / MAC address) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\streetsidesoftware.code-spell-checker\4.6.0.vsix
datadog-benign,wmaurer.change-case,wmaurer.change-case,1.0.0,0,benign,DataDog benign,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\wmaurer.change-case\1.0.0.vsix
datadog-benign,vscode-icons-team.vscode-icons,vscode-icons-team.vscode-icons,12.18.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\vscode-icons-team.vscode-icons\12.18.0.vsix
datadog-benign,yzhang.markdown-all-in-one,yzhang.markdown-all-in-one,3.6.3,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,3,0,0,0,0,2,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\yzhang.markdown-all-in-one\3.6.3.vsix
datadog-benign,zhuangtongfa.material-theme,zhuangtongfa.material-theme,3.19.0,0,benign,DataDog benign,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Benign\Dataset_Benign\zhuangtongfa.material-theme\3.19.0.vsix
