dataset,sample,id,version,label,tier,classification,final_verdict,final_is_malicious,final_is_flagged,decided_by,score,static_verdict,static_score,dynamic_verdict,dynamic_score,total_events,http_requests,child_process_calls,outbound_messages,eval_calls,fs_reads,net_socket_calls,data_stolen,stolen_categories,hosts,purpose,timers_fired,virtual_days,timed_out,error,top_reasons,target
datadog-malicious,eamodas.shiny-vscode,eamodas.shiny-vscode,1.3.2,1,code,DataDog malicious,BENIGN,0,0,both,18,BENIGN,12,BENIGN,18,2,0,0,0,2,0,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+18 evaluates dynamically-built code (eval / new Function),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\eamodas.shiny-vscode\1.3.2.vsix
datadog-malicious,csvmech.csvrainbow,csvmech.csvrainbow,3.3.1,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),1,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\csvmech.csvrainbow\3.3.1.vsix
datadog-malicious,dontdownloadthis.dontdownloadthis,dontdownloadthis.dontdownloadthis,0.0.2,1,code,DataDog malicious,MALICIOUS,1,1,both,150,MALICIOUS,150,MALICIOUS,90,13,0,13,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+45 downloads an executable/script binary from a non-distribution host ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\dontdownloadthis.dontdownloadthis\0.0.2.vsix
datadog-malicious,cweijamysq.sync-settings-vscode,cweijamysq.sync-settings-vscode,0.18.2,1,code,DataDog malicious,MALICIOUS,1,1,static,90,MALICIOUS,90,BENIGN,18,7,0,0,0,1,2,0,0,,,Obfuscated payload (staged execution),0,0,0,,static:+55 AST: reverse shell — a socket data handler executes received input as a process ; static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\cweijamysq.sync-settings-vscode\0.18.2.vsix
datadog-malicious,embeddteam.embedded-cortex-debug,embeddteam.embedded-cortex-debug,1.14.0,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\embeddteam.embedded-cortex-debug\1.14.0.vsix
datadog-malicious,embeddteam.embedded-cortex-debug,embeddteam.embedded-cortex-debug,1.14.1,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+25 programmatically installs a VSIX (marketplace bypass) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\embeddteam.embedded-cortex-debug\1.14.1.vsix
datadog-malicious,EthCompiler.among-eth,EthCompiler.among-eth,1.0.2,1,code,DataDog malicious,SUSPICIOUS,0,1,dynamic,30,BENIGN,12,SUSPICIOUS,30,4,1,0,1,0,1,0,0,,solidity.bot,Infostealer / Reconnaissance,0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\EthCompiler.among-eth\1.0.2.vsix
datadog-malicious,Ethereum.SoliditySupport,Ethereum.SoliditySupport,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,12,0,12,0,0,0,0,0,,,Loader / Downloader (stager),13,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\Ethereum.SoliditySupport\1.0.0.vsix
datadog-malicious,cosmic-themes.sql-formatter,cosmic-themes.sql-formatter,4.2.6,1,code,DataDog malicious,MALICIOUS,1,1,both,135,MALICIOUS,69,MALICIOUS,135,4000,1999,0,39999,1,0,0,0,,api.mainnet-beta.solana.com,Infostealer / Reconnaissance,40000,4.65,0,,static:+45 runtime-decrypts an embedded payload with a hard-coded key (packed second stage) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; static:+12 AST: dynamic eval()/new Function() on a constructed (non-static) value ; dynamic:+35 runtime-decrypts a payload (AES) then contacts the network,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\Sample\Sample\cosmic-themes.sql-formatter-4.2.6.vsix
datadog-malicious,EtherFoundation.vs-ranket,EtherFoundation.vs-ranket,1.1.1,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\EtherFoundation.vs-ranket\1.1.1.vsix
datadog-malicious,garytyler.darcula-pycharm,garytyler.darcula-pycharm,1.0.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\garytyler.darcula-pycharm\1.0.0.vsix
datadog-malicious,7finney.ethcode,7finney.ETHCode,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,190,MALICIOUS,190,MALICIOUS,125,34,2,1,2,0,6,0,0,,raw.githubusercontent.com,Loader / Downloader (stager),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+45 anonymous file-drop host (payload staging) ; static:+45 downloads an executable/script binary from a non-distribution host ; static:+45 obfuscated dependency in node_modules invoking process execution (supply-chain trojan),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\7finney.ETHCode\1.0.0.vsix
datadog-malicious,GitlensPro.aicode-companion,GitlensPro.aicode-companion,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.aicode-companion\2.0.0.vsix
datadog-malicious,Expressjs.expressjs-session,Expressjs.expressjs-session,1.24.0,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,95,BENIGN,0,MALICIOUS,95,4,1,0,1,0,0,0,0,,xn--expessjs-00d.com,Infostealer / Reconnaissance,0,0,0,,dynamic:+30 collects host/user reconnaissance and transmits it ; dynamic:+40 punycode / typosquat domain ; dynamic:+25 transmits a data payload to the suspicious/tunnelled endpoint (exfiltration),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\Expressjs.expressjs-session\1.24.0.vsix
datadog-malicious,GavinLamWood.vs-blanket,GavinLamWood.vs-blanket,0.0.8,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,90,SUSPICIOUS,25,MALICIOUS,90,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload) ; dynamic:+35 spawns an OS process / shell via child_process,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GavinLamWood.vs-blanket\0.0.8.vsix
datadog-malicious,flutcode.flutter-extension,flutcode.flutter-extension,3.122.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\flutcode.flutter-extension\3.122.0.vsix
datadog-malicious,GitlensPro.error-lens-ultra-pro,GitlensPro.error-lens-ultra-pro,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.error-lens-ultra-pro\2.0.0.vsix
datadog-malicious,GitlensPro.codebeauty-formatter,GitlensPro.codebeauty-formatter,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.codebeauty-formatter\2.0.0.vsix
datadog-malicious,GitlensPro.peacock-workspace-colorizer,GitlensPro.peacock-workspace-colorizer,2.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.peacock-workspace-colorizer\2.0.0.vsix
datadog-malicious,GitlensPro.gitlens-monocharged,GitlensPro.gitlens-monocharged,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.gitlens-monocharged\1.0.0.vsix
datadog-malicious,GitlensPro.gitpro-ai-tools,GitlensPro.gitpro-ai-tools,1.0.0,1,code,DataDog malicious,MALICIOUS,1,1,both,112,MALICIOUS,112,MALICIOUS,65,7,2,0,2,0,0,0,0,,91.92.242.133,C2 beacon / Command-and-control client,0,0,0,,static:+45 downloads an executable/script binary from a non-distribution host ; static:+40 hard-coded raw public IP endpoint ; static:+15 executes a child process with windowsHide:true (concealed execution) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\GitlensPro.gitpro-ai-tools\1.0.0.vsix
datadog-malicious,hajoo.poisoned-extension,hajoo.poisoned-extension,1.0.3,1,code,DataDog malicious,SUSPICIOUS,0,1,static,35,SUSPICIOUS,35,BENIGN,0,0,0,0,0,0,0,0,0,,,,0,0,0,,static:+30 ephemeral/free cloud backend endpoint (C2 staging) ; static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\hajoo.poisoned-extension\1.0.3.vsix
datadog-malicious,IconKief.icon-theme-material,IconKief.icon-theme-material,5.29.0,1,code,DataDog malicious,BENIGN,0,0,both,12,BENIGN,12,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\IconKief.icon-theme-material\5.29.0.vsix
datadog-malicious,juanbIanco.soli989,juanbIanco.soli989,0.0.189,1,code,DataDog malicious,MALICIOUS,1,1,dynamic,135,BENIGN,0,MALICIOUS,135,7,1,0,1,0,0,0,0,,function.undefined21.com,Infostealer / Reconnaissance,0,0,0,,dynamic:+30 collects host/user reconnaissance and transmits it ; dynamic:+45 exfiltrates a host fingerprint (machineId / MAC / hostname+username) ; dynamic:+35 auto-generated throwaway C2 domain ; dynamic:+25 transmits a data payload to the suspicious/tunnelled endpoint (exfiltration),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\juanbIanco.soli989\0.0.189.vsix
datadog-malicious,JohnGaffney.blankebesxstnion,JohnGaffney.blankebesxstnion,1.0.2,1,code,DataDog malicious,SUSPICIOUS,0,1,dynamic,30,BENIGN,12,SUSPICIOUS,30,4,1,0,1,0,1,0,0,,solidity.bot,Infostealer / Reconnaissance,0,0,0,,static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+30 collects host/user reconnaissance and transmits it,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\JohnGaffney.blankebesxstnion\1.0.2.vsix
datadog-malicious,JacobETH.solidi,JacobETH.solidi,1.0.7,1,code,DataDog malicious,MALICIOUS,1,1,both,317,MALICIOUS,317,MALICIOUS,150,4,0,3,0,0,0,1,0,,,Loader / Downloader (stager),0,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+50 tunnelled C2 endpoint (ngrok / cloudflare / tcp tunnel) ; static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+45 anonymous file-drop host (payload staging),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\JacobETH.solidi\1.0.7.vsix
datadog-malicious,JuanFBlanco.awswhh,JuanFBlanco.awswhh,0.0.7,1,code,DataDog malicious,MALICIOUS,1,1,both,90,MALICIOUS,90,MALICIOUS,90,1,0,1,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding) ; static:+12 AST: child_process invoked with a non-static/tainted command argument ; dynamic:+55 download-and-execute cradle (LOLBIN fetches & runs a remote payload),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\JuanFBlanco.awswhh\0.0.7.vsix
datadog-malicious,krabt.krabt-extension-pack,krabt.krabt-extension-pack,1.0.1,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\krabt.krabt-extension-pack\1.0.1.vsix
datadog-malicious,kraftwer1.darcula-extra,kraftwer1.darcula-extra,0.6.0,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\kraftwer1.darcula-extra\0.6.0.vsix
datadog-malicious,JuanFranBlanco.solidit-vscode,JuanFranBlanco.solidit-vscode,0.0.1,1,code,DataDog malicious,MALICIOUS,1,1,both,185,MALICIOUS,185,MALICIOUS,90,12,0,12,0,0,0,0,0,,,Loader / Downloader (stager),1,0,0,,static:+55 download-and-execute cradle (one command string fetches a remote payload and runs it) ; static:+50 drops an executable into a temp directory and launches it (dropper) ; static:+45 downloads an executable/script binary from a non-distribution host ; static:+25 javascript-obfuscator string-array decoder present (deliberate code hiding),C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\JuanFranBlanco.solidit-vscode\0.0.1.vsix
datadog-malicious,labfile.labfile,labfile.labfile,0.0.5,1,code,DataDog malicious,BENIGN,0,0,both,0,BENIGN,0,BENIGN,0,0,0,0,0,0,0,0,0,,,No malicious behaviour observed (dynamic),0,0,0,,,C:\Users\trung\Pictures\Capstone\Dataset_Malicious\Dataset_Malicious\labfile.labfile\0.0.5.vsix
